time,target,action,lib,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-14 18:08:17,webcam#187,frame,opencv,1280,720,143.9,146.5,2.6,208.8,0.0201
2026-09-14 18:08:17,webcam#188,frame,opencv,1280,720,143.9,146.5,2.6,47.4,0.0251
2026-09-14 18:08:17,webcam#189,frame,opencv,1280,720,143.9,146.5,2.6,629.0,0.0233
2026-09-14 18:08:17,webcam#190,frame,opencv,1280,720,143.9,146.5,2.6,250.5,0.0215
2026-09-14 18:08:17,webcam#191,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0213
2026-09-14 18:08:17,webcam#192,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0212
2026-09-14 18:08:17,webcam#193,frame,opencv,1280,720,143.9,146.5,2.6,48.5,0.0255
2026-09-14 18:08:17,webcam#194,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0252
2026-09-14 18:08:17,webcam#195,frame,opencv,1280,720,143.9,146.5,2.6,50.6,0.0202
2026-09-14 18:08:17,webcam#196,frame,opencv,1280,720,143.9,146.5,2.6,0.0,0.0409
2026-09-14 18:08:17,webcam#197,frame,opencv,1280,720,143.9,146.5,2.6,143.1,0.025
2026-09-14 18:08:17,webcam#198,frame,opencv,1280,720,143.9,146.5,2.6,47.6,0.0244
2026-09-14 18:08:17,webcam#199,frame,opencv,1280,720,143.9,146.5,2.6,100.3,0.0246
2026-09-14 18:11:18,webcam#0,frame,opencv,640,480,126.1,121.2,-4.9,0.0,0.5465
2026-09-14 18:11:18,webcam#1,frame,opencv,640,480,121.2,124.2,3.0,0.0,0.0107
2026-09-14 18:11:18,webcam#2,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0306
2026-09-14 18:11:19,webcam#3,frame,opencv,640,480,123.3,124.2,0.9,0.0,0.0309
2026-09-14 18:11:19,webcam#4,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0325
2026-09-14 18:11:19,webcam#5,frame,opencv,640,480,124.2,124.2,0.0,0.0,0.0483
2026-09-14 18:11:19,webcam#6,frame,opencv,640,480,124.2,124.2,0.0,50.0,0.0311
2026-09-14 18:11:19,webcam#7,frame,opencv,640,480,124.2,124.2,0.0,44.0,0.0353
